SAPIndustries,2017-09-20 08:07,0,1,#SAP4UTL Excellence in #Utilities Awards a Hit in Huntington Beach http:// spr.ly/601982Kot @DTE_Energy @Accenture @xcelenergy @PSETalk pic.twitter.com/d5Mzeedrzd,,@DTE_Energy @Accenture @xcelenergy @PSETalk,#SAP4UTL #Utilities,9.10475384860406E+017,https://twitter.com/SAPIndustries/status/910475384860405763
jdrakehamilton,2017-09-20 07:38,4,1,North Dakota energy policy priorities clash with Minnesota's advances but bulk of @XcelEnergy customers are in #MN https://www. eenews.net/energywire/201 7/09/20/stories/1060061173 …,,@XcelEnergy,#MN,9.10468134435467E+017,https://twitter.com/jdrakehamilton/status/910468134435467264
WRIEnergy,2017-09-19 17:20,3,3,We're live at #VERGE17 with @ltawney and Aakash Chandarana @xcelenergy talking #renewableenergy innovation https://www. facebook.com/REbuyersallian ce/videos/1935197686752822/ … #reba17 pic.twitter.com/AVwXs8Qv2K,,@ltawney @xcelenergy,#VERGE17 #renewableenergy #reba17,9.10252205885632E+017,https://twitter.com/WRIEnergy/status/910252205885632512
AllDayNJ,2017-09-19 13:02,1,3,A big thank you to the @xcelenergy family for helpin us out in #SWFL Didn't have cold water so I gave them some fresh coconuts @XcelEnergyTX,,@xcelenergy @XcelEnergyTX,#SWFL,9.10187463502696E+017,https://twitter.com/AllDayNJ/status/910187463502696448
batesTopher,2017-09-19 00:35,0,0,"I got mine, in multiple rooms! If it goes out I only blame the wiring tech (me) or the @xcelenergy , because I got no power!",,@xcelenergy,,9.09999356761264E+017,https://twitter.com/batesTopher/status/909999356761264128
Cptn_Jack,2017-09-18 21:00,0,0,"@xcelenergy we've been without power for six hours. It was ""supposed"" to be up at four. When will we have power again?",,@xcelenergy,,9.09945350680646E+017,https://twitter.com/Cptn_Jack/status/909945350680645632
ItsBoomerAgain,2017-09-18 17:35,0,0,Just in time for the next hurricane. Stay safe everyone..,,,,9.09893611176817E+017,https://twitter.com/ItsBoomerAgain/status/909893611176816640
thoen88,2017-09-18 15:29,0,2,Awesome!! @xcelenergy https:// twitter.com/Breaking911/st atus/909856279363047424 …,,@xcelenergy,,9.098620774808E+017,https://twitter.com/thoen88/status/909862077480800256
CUSolutions,2017-09-16 13:23,0,0,"Are you back in business, yet? It was great to see your team at #UsersGroup2017 .",,,#UsersGroup2017,9.09105545272898E+017,https://twitter.com/CUSolutions/status/909105545272897536
elkruegs,2017-09-16 11:52,0,0,Wish @xcelenergy would trim that branch pic.twitter.com/Zev3sZRpdy,,@xcelenergy,,9.09082558897562E+017,https://twitter.com/elkruegs/status/909082558897561600
HandiMedSupply,2017-09-15 17:54,0,0,"200,000 @xcelenergy customers are without power, including Handi Medical. Power is not expected to return until 7:30.",,@xcelenergy,,9.08811320539189E+017,https://twitter.com/HandiMedSupply/status/908811320539189248
jdrakehamilton,2017-09-15 13:07,0,0,Investors like Chris Clark's Steel for Fuel vision of @xcelenergy moving to low-cost wind substituting for coal #MidwestEnergyStorage,,@xcelenergy,#MidwestEnergyStorage,9.08738984712557E+017,https://twitter.com/jdrakehamilton/status/908738984712556544
unisohan,2017-09-15 13:05,2,1,Thank you @xcelenergy your leadership is critical #midwestenergystorage https:// twitter.com/jdrakehamilton /status/908737494384091136 …,,@xcelenergy,#midwestenergystorage,9.0873861875531E+017,https://twitter.com/unisohan/status/908738618755309568
sheaomattic,2017-09-15 12:47,0,2,I'm about to lose it!!! @xcelenergy so furious!,,@xcelenergy,,9.08733972355498E+017,https://twitter.com/sheaomattic/status/908733972355497984
CIMCONLIGHTING,2017-09-15 11:35,0,1,@CIMCONLIGHTING to participate in @XcelEnergy Technology and Vendor Summit - September 19th.,,@CIMCONLIGHTING @XcelEnergy,,9.08715985959621E+017,https://twitter.com/CIMCONLIGHTING/status/908715985959620609
bloommnchamber,2017-09-15 10:35,0,0,"Thank you to our #BCCBizDay sponsors @_HealthPartners @xcelenergy @energyinsights @Rasmussen @EnvisionWOW & Drazan, Henke, and Associates!",,@_HealthPartners @xcelenergy @energyinsights @Rasmussen @EnvisionWOW,#BCCBizDay,9.08700689316172E+017,https://twitter.com/bloommnchamber/status/908700689316171776
UMNenergylab,2017-09-15 09:51,12,24,Thanks to @KSpeakesBackman and Chris Clark of @xcelenergy for speaking at #MidwestEnergyStorage ! pic.twitter.com/tgyz1d5oks,,@KSpeakesBackman @xcelenergy,#MidwestEnergyStorage,9.08689645977907E+017,https://twitter.com/UMNenergylab/status/908689645977907205
BVZ_Investools,2017-09-14 20:30,0,0,Definitely understandable. There will surely be big schedule changes occurring Oct 1,,,,9.08488222350569E+017,https://twitter.com/BVZ_Investools/status/908488222350569472
IokepaAloha,2017-09-14 20:29,0,1,Not a problem.Always a great learning class. I was just concerned with the changes taking place........,,,,9.08488008105521E+017,https://twitter.com/IokepaAloha/status/908488008105521152
e_source,2017-09-14 20:00,0,1,Get your game on! Ping pong party at @AceEatServe tonight sponsored by @xcelenergy . Meet in the lobby at 6:45. #ESForum17,,@AceEatServe @xcelenergy,#ESForum17,9.08480508845347E+017,https://twitter.com/e_source/status/908480508845346816
AndyUSF,2017-09-14 19:53,0,2,Also saw several trucks from #Ohio this morning. Thanks to all the men and women down here in the heat helping us Floridians.,,,#Ohio,9.08478883191718E+017,https://twitter.com/AndyUSF/status/908478883191717888
BVZ_Investools,2017-09-14 19:53,0,0,"As stated in the email, all classes taught by instructors at the Vegas conference were cancelled(no subs). Check with Ken Rose for last week",,,,9.08478822428721E+017,https://twitter.com/BVZ_Investools/status/908478822428721152
IokepaAloha,2017-09-14 19:44,0,0,"Yes, I know but there has always been a substitute, but I know change is going on with Investools and Ameritrade",,,,9.08476691651059E+017,https://twitter.com/IokepaAloha/status/908476691651059712
BVZ_Investools,2017-09-14 19:41,0,0,I've been out of the office the last two weeks. Hopefully you read my emails stating such.,,,,9.08475792052466E+017,https://twitter.com/BVZ_Investools/status/908475792052465664
IokepaAloha,2017-09-14 19:37,0,0,In the Investools education stock investing for the top down Friday class there is no recorded sessions for the last 2 Fridays,,,,9.08474902306361E+017,https://twitter.com/IokepaAloha/status/908474902306361345
BVZ_Investools,2017-09-14 19:34,0,0,"What do you mean ""none were posted""? I don't follow.",,,,9.08474065190519E+017,https://twitter.com/BVZ_Investools/status/908474065190518784
sgaileach,2017-09-14 19:33,0,0,Big thanks to @xcelenergy for coming into Florida to help with post #HurricaneIrma . We have power back up much sooner than expected!,,@xcelenergy,#HurricaneIrma,9.08473872705577E+017,https://twitter.com/sgaileach/status/908473872705576961
IokepaAloha,2017-09-14 19:33,0,1,I have to follow you on the the recorded sessions and none were posted :-(,,,,9.08473720603255E+017,https://twitter.com/IokepaAloha/status/908473720603254785
kathleen_boggs,2017-09-14 19:14,0,1,But I actually love this,,,,9.08469031853797E+017,https://twitter.com/kathleen_boggs/status/908469031853797377
kathleen_boggs,2017-09-14 19:04,0,1,We got u,,,,9.08466526554136E+017,https://twitter.com/kathleen_boggs/status/908466526554136576
AndyUSF,2017-09-14 18:59,0,9,Thanks to @xcelenergy and the people of #minnesota for sending crews down here to help! pic.twitter.com/bnH616dFsP,,@xcelenergy,#minnesota,9.08465321559953E+017,https://twitter.com/AndyUSF/status/908465321559953408
jimmy_colwell,2017-09-14 15:57,1,1,@xcelenergy donation of funds and services to those effected by #Irma is a great example of corporate philanthropy. @MetroPRMajors https:// twitter.com/xcelenergy/sta tus/907419087785140224 …,,@xcelenergy @MetroPRMajors,#Irma,9.08419560516342E+017,https://twitter.com/jimmy_colwell/status/908419560516341760
ScottGrovesCO,2017-09-14 15:20,0,0,"Cool, thanks for the update.",,,,9.08410054050812E+017,https://twitter.com/ScottGrovesCO/status/908410054050811905
kelreedfll,2017-09-14 15:18,0,0,There was one teco truck with them. Sure they are spread thin. Hillsborough county is huge.,,,,9.08409585677062E+017,https://twitter.com/kelreedfll/status/908409585677062144
ScottGrovesCO,2017-09-14 15:15,0,0,"Has there even been a TECO truck that has restored power to anyone? Psst, send them over to Temple Terrace, please.",,,,9.08408880874574E+017,https://twitter.com/ScottGrovesCO/status/908408880874573829
kelreedfll,2017-09-14 15:13,0,2,So thankful for @xcelenergy for getting our power restored in Brandon. Can't thank you enough. Crews traveled from CO and TX to help.,,@xcelenergy,,9.08408284331339E+017,https://twitter.com/kelreedfll/status/908408284331339776
WesternPowerSmt,2017-09-14 12:34,0,0,"Rate increases 9/16! Register ( http:// bit.ly/2uadqk5 ) and join @TriStateGT , @PacifiCorp , @xcelenergy and more 10/23-10/25. pic.twitter.com/0vBPRcZKnr",,@TriStateGT @PacifiCorp @xcelenergy,,9.08368281328918E+017,https://twitter.com/WesternPowerSmt/status/908368281328918528
MetroDenverEDC,2017-09-14 10:15,0,1,Thanks to this morning’s #SiteSelect17 Presenting Sponsor @XcelEnergy & Gold Sponsor #LCFulenwider,,@XcelEnergy,#SiteSelect17 #LCFulenwider,9.08333366495375E+017,https://twitter.com/MetroDenverEDC/status/908333366495375361
jdeely,2017-09-13 20:46,0,0,Plus I think @SierraClub wants @PacifiCorp to show some good intentions. Perhaps similar to @xcelenergy . Trust is not there.,,@SierraClub @PacifiCorp @xcelenergy,,9.08129747351126E+017,https://twitter.com/jdeely/status/908129747351126016
Hawkhoe,2017-09-13 20:09,1,5,Congrats to @xcelenergy for winning the excellence in operations #SAP4UTL award!! pic.twitter.com/KViwMSS8zX,,@xcelenergy,#SAP4UTL,9.08120373400543E+017,https://twitter.com/Hawkhoe/status/908120373400543232
EricaErickson_1,2017-09-13 17:38,0,1,We see you here now in Tampa Florida!! Thank you for helping our state. So appreciated,,,,9.08082387300635E+017,https://twitter.com/EricaErickson_1/status/908082387300634624
MonikaMaslen,2017-09-13 17:10,0,1,Transmission training facility @xcelenergy @WPI_Online pic.twitter.com/QUL0Cm01QX,,@xcelenergy @WPI_Online,,9.08075383844516E+017,https://twitter.com/MonikaMaslen/status/908075383844515840
MonikaMaslen,2017-09-13 17:10,0,1,@xcelenergy training facility @WPICPE pic.twitter.com/EigYJR3nNC,,@xcelenergy @WPICPE,,9.08075337120063E+017,https://twitter.com/MonikaMaslen/status/908075337120063489
MonikaMaslen,2017-09-13 16:37,0,1,Lab for the linemen @xcelenergy @WPI_Online pic.twitter.com/q6JSc6mkRd,,@xcelenergy @WPI_Online,,9.08067190229713E+017,https://twitter.com/MonikaMaslen/status/908067190229712896
MonikaMaslen,2017-09-13 16:37,0,0,@xcelenergy training facility for underground training @WPICPE pic.twitter.com/8SyhXUlsZx,,@xcelenergy @WPICPE,,9.08067099301388E+017,https://twitter.com/MonikaMaslen/status/908067099301388288
MonikaMaslen,2017-09-13 14:44,0,0,@wpi @xcelenergy discussing Power online programs pic.twitter.com/KE5ggjbEgw,,@wpi @xcelenergy,,9.08038706899989E+017,https://twitter.com/MonikaMaslen/status/908038706899988480
MonikaMaslen,2017-09-13 14:43,0,1,@WPICPE busy promoting power education to @xcelenergy pic.twitter.com/JGaEUtHg3p,,@WPICPE @xcelenergy,,9.08038488645288E+017,https://twitter.com/MonikaMaslen/status/908038488645287936
Derfael,2017-09-13 13:20,0,0,You might want to pass onto the webmaster(s) that they need to listed on that page states/locations that are no longer in the program,,,,9.08017539158077E+017,https://twitter.com/Derfael/status/908017539158077440
timweston,2017-09-13 12:50,0,5,"On behalf of all Floridians, thank you, @xcelenergy (and other electric companies), for helping bring power back to the State of Florida.",,@xcelenergy,,9.08009992757936E+017,https://twitter.com/timweston/status/908009992757936129
timweston,2017-09-13 12:49,0,2,Passed a convoy of over a dozen @xcelenergy (Minnesota!) trucks on I-75 on my way home this morning.,,@xcelenergy,,9.08009695222358E+017,https://twitter.com/timweston/status/908009695222358016
Derfael,2017-09-13 12:33,0,0,Colorado. Website only listed ecobee and honeywell,,,,9.08005707982746E+017,https://twitter.com/Derfael/status/908005707982745601
MonikaMaslen,2017-09-13 12:24,1,3,I challenge @xcelenergy stop by and visit @WPICPE and chat with me about Power education pic.twitter.com/r6wGWWscIY,,@xcelenergy @WPICPE,,9.08003424121242E+017,https://twitter.com/MonikaMaslen/status/908003424121241600
Derfael,2017-09-13 12:20,0,0,looking over @xcelenergy site and realize that they dont have @nest on their rebates program. At least it will help lower bill,,@xcelenergy @nest,,9.08002362920501E+017,https://twitter.com/Derfael/status/908002362920501248
seconsumer,2017-09-13 12:08,0,2,Great panel w/ @ComEd @xcelenergy @cpsenergy & @TFCutilities on utility e-commerce and what today's customers really want. #SGCCMM17 pic.twitter.com/LOydGKTi87,,@ComEd @xcelenergy @cpsenergy @TFCutilities,#SGCCMM17,9.0799933806805E+017,https://twitter.com/seconsumer/status/907999338068049920
seconsumer,2017-09-13 11:59,0,0,Colin Lamb @xcelenergy : Customers enjoy instant rebates on smart appliances that take friction out of the process. Lukewarm on DR. #SGCCMM17,,@xcelenergy,#SGCCMM17,9.07997074641343E+017,https://twitter.com/seconsumer/status/907997074641342469
